ID,Name,Location,Location ID,Charasets,Traits,Charaset Limit,Variety Limit
btsc09042,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09051,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09052,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09070,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09080,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09100,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09101,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09102,,Augusta 300,h_gt_AD0300,,Info,,
btsc09110,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09503,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09505,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09510,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09511,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09515,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09517,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09518,,Augusta 200/300,h_gt_AD0200|h_gt_AD0300,chset_gtca_def|chset_gtda_def,,24,
btsc09521,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09541,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09550,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09555,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09557,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09559,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09560,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09600,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09610,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09620,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09621,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09622,,Augusta 300,h_gt_AD0300,chset_gtda_def,,24,
btsc09830,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09900,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09910,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09920,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
# Academia 500 (11)
btsc11020,Rare (Mánagarmr),Academia 500,h_ac_AD0500,,Info,,
btsc11030,Apkallu,Academia 500,h_ac_AD0500,,Info|Miniboss,,
btsc11064,,Academia 500,h_ac_AD0500,,Info,,
btsc11066,,Academia 500,h_ac_AD0500,,Info,,
btsc11110,Tezcatlipoca,Academia 500,h_ac_AD0500,,Info,,
btsc11601,,Bodhum 700/Dying World 700/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc11602,,Bodhum 700/Dying World 700/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc11606,,Academia 500,h_ac_AD0500,,Info,,
btsc11612,,Academia 500,h_ac_AD0500,,Info,,
btsc11613,,Academia 500,h_ac_AD0500,,Info,,
btsc11614,,Academia 500,h_ac_AD0500,,Info,,
btsc11621,,Academia 500,h_ac_AD0500,,Info,,
btsc11630,Rare (Xolotl + Miquiztli),Academia 500,h_ac_AD0500,,Info,,
btsc11900,Caius Void Beyond,Void Beyond,h_sp_NA0001,chset_spza_def,Boss,39,
btsc11909,Caius Void Beyond (Paradox),Void Beyond,h_sp_NA0001,chset_spza_def,Boss,39,
btsc11910,Pacos Amethyst/Luvulite,Academia 500,h_ac_AD0500,chset_acfa_e012,Boss,39,
# Vile Peaks (12)
btsc12000,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12001,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12010,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12011,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12020,Rare (Dreadnought),Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12031,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12041,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12050,Rare (Black Chocobo),Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12201,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12202,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12203,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12211,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12231,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12250,Rare (Garuda),Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12500,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12510,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12520,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12521,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12525,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12530,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12540,,Vile Peaks 10,h_vp_AD0010,,Info,,
btsc12600,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12601,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12602,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12610,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12611,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12620,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12621,,Vile Peaks 200,h_vp_AD0200,,Info,,
btsc12800,Twilight Odin,Vile Peaks 10,h_vp_AD0010,,Info|Boss,,
btsc12810,Twilight Odin,Vile Peaks 200,h_vp_AD0200,,Info|Boss,,
# 700 AF (13)
btsc13001,,Bodhum 700/Dying World/Void Beyond,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100,,Info,,
btsc13002,,Bodhum 700/Dying World/Void Beyond,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100,,Info,,
btsc13003,,Bodhum 700/Dying World/Void Beyond,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100,,Info,,
btsc13011,,Bodhum 700/Dying World/Void Beyond,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100,,Info,,
btsc13012,,Bodhum 700/Dying World/Void Beyond,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100,,Info,,
btsc13900,Caius Dying World,Dying World,h_dd_AD0700,chset_ddha_e030,Boss,39,
btsc13909,Caius Dying World Paradox,Dying World,h_dd_AD0700,chset_ddha_e030,Boss,39,
btsc13950,Gogmagog Gamma,Dying World,h_dd_AD0700,chset_ddha_e040,Boss,39,
# 700 AF + 3X (14)
btsc14000,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc14001,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc14002,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc14500,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc14501,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc14505,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc14506,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
btsc14510,,Bodhum 700/Dying World/Void Beyond/Bodhum 3X,h_hm_AD0700|h_dd_AD0700|h_sp_NA0100|h_hp_AD0003,,Info,,
# Final Bosses (15)
btsc15900,Chaos Bahamut,Ending,h_ac_AD0500,chset_lsza_d01a,Boss,39,
btsc15910,Caius Deck,Ending,h_ac_AD0500,chset_lsza_d01a,Boss,39,
btsc15950,Caius Beach,Ending,h_ac_AD0500,chset_lsza_d01a,Boss,39,
btsc15990,Jet Bahamut,Ending,h_ac_AD0500,chset_lsza_d03b,Boss,39,
