ID,Name,Upgrade Into
acc_b_7100,Uneasy Rest,
wear_cg070,Veil Guard,
wear_asp_d,Vengeance Siphon,
wear_din_e,Victor Drain,
wear_asp_e,Victor Siphon,
wear_rgp_e,Victor's Rush,
wear_cg060,Vigilance Guard,
aa_rat500_00,Whirlwind Kick,
awp_wdef060_1,Wind Guard +70%,awp_wdef061_1
awp_wdef061_1,Wind Guard +80%,awp_wdef062_1
awp_wdef062_1,Wind Guard +90%,acc_a_9040
spa_0130,Wind-Attribute Attacks +10%,spa_0131
spa_0131,Wind-Attribute Attacks +12%,spa_0132
spa_0132,Wind-Attribute Attacks +15%,acc_a_9170b
acc_a_9170b,Wind-Attribute Attacks +20%,acc_a_9171b
spa_0133,Wind-Attribute Attacks +20%,acc_a_9171b
acc_a_9171b,Wind-Attribute Attacks +22%,acc_a_9172b
acc_a_9172b,Wind-Attribute Attacks +25%,acc_b_0130
acc_b_0130,Wind-Attribute Attacks +30%,acc_b_0131
acc_b_0131,Wind-Attribute Attacks +32%,acc_b_0132
acc_b_0132,Wind-Attribute Attacks +35%,
